Code,Name,Name KH,Category Code,Unit ID,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image,Type(standard or service)
DC25F23,LED TV-25",ទូរទស្សន៍ស្តើងLED,C-027,2,95,138,1, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
K32K22,LED TV-32",ទូរទស្សន៍ស្តើងLED,C-027,2,145,198,1, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
K43K22,LED TV-43",ទូរទស្សន៍ស្តើងLED,C-027,2,255,328,1, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
K50K22,LED TV-50",ទូរទស្សន៍ស្តើងLED,C-027,2,335,458,1, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
SU55F19,DLED UHD SMART TV 55",ទូរទស្សន៍ស្តើង UHD LED WIFI,C-027,2,415,610,1, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
SU65F19,DLED UHD SMART TV 65",ទូរទស្សន៍ស្តើង UHD LED WIFI,C-027,2,680,1050,1, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
DH-7,DVD Player-DH-7,ក្បាលឌីវីឌី,C-007,2,19,31,1, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
DH-8,DVD Player-DH-8,ក្បាលឌីវីឌី,C-007,2,20,35,1, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
DH-9,DVD Player-DH-9,ក្បាលឌីវីឌី,C-007,2,21,40,1, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
DH-II,DVD Player-DH-II,ក្បាលឌីវីឌី,C-007,2,18.5,31,1, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
DH-I,DVD Player-DH-I,ក្បាលឌីវីឌី,C-007,2,19,40,1, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
DH-I (AMP),DVD Player-DH-I (AMP),ក្បាលឌីវីឌី,C-007,2,23,45,1, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
HFS-100,HIFI STEREO-HSF-100,ហាយហ្វាយHIFI STEREO,C-014,2,62,99,1, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
HFS-200E,HIFI STEREO-HSF-200E,ហាយហ្វាយHIFI STEREO,C-014,2,60,118,1, No Tax, exclusive,,,,,,,,,,,,,,no_image.png,standard
